nateam,birth_date,birth_country_isoCode,birth_country,player_name,player_id,normal_position
germany,1971-04-18,de,germany,stefan schnoor,1545,d
ireland,1976-07-06,ie,ireland,rory delap,1391,m
jamaica,1971-01-15,gb-eng,england,darryl powell,1177,m
estonia,1972-02-03,ee,estonia,mart poom,1161,g
scotland,1971-09-24,gb-sct,scotland,craig burley,109,m
argentina,1973-05-02,ar,argentina,horacio carbonari,1546,d
france,1971-05-28,fr,france,lilian martin,1871,d
georgia,1973-07-06,ge,georgia,georgi kinkladze,1058,m
england,1980-09-01,gb-eng,england,chris riggott,1695,d
england,1979-03-12,gb-eng,england,seth johnson,1698,m
england,1979-04-11,gb-eng,england,malcolm christie,1553,f
jamaica,1976-10-25,jm,jamaica,deon burton,1393,f
england,1980-04-30,gb-eng,england,lee morris,1696,m
finland,1973-04-28,fi,finland,simo valakari,1877,m
croatia,1968-01-01,hr,croatia,davor suker,1657,f
italy,1968-07-09,it,italy,paolo di canio,1451,f
england,1978-11-07,gb-eng,england,rio ferdinand,1111,d
trinidad & tobago,1969-02-22,gb-eng,england,shaka hislop,1080,g
england,1978-06-20,gb-eng,england,frank lampard,800,m
england,1981-07-28,gb-eng,england,michael carrick,1634,m
northern ireland,1974-01-18,de,germany,steve lomas,293,m
england,1973-03-02,gb-eng,england,trevor sinclair,741,m
england,1962-04-24,gb-eng,england,stuart pearce,395,d
england,1974-05-07,gb-eng,england,ian pearce,96,d
mali,1977-09-02,fr,france,frederic kanoute,1805,f
england,1966-09-22,gb-eng,england,john moncur,768,m
guinea,1975-12-16,gn,guinea,kaba diawara,1498,f
england,1978-10-03,gb-eng,england,neil clement,1146,d
england,1977-09-10,gb-eng,england,ronnie wallwork,922,d
england,1979-01-02,gb-eng,england,jonathan greening,1429,m
england,1970-02-04,gb-eng,england,kevin campbell,25,f
england,1978-12-14,gb-eng,england,paul robinson,1780,d
wales,1981-04-06,zm,zambia,robert earnshaw,2819,f
denmark,1980-03-31,dk,denmark,martin albrechtsen,2371,d
hungary,1979-04-22,hu,hungary,zoltán gera,2390,m
england,1972-11-22,gb-eng,england,russell hoult,890,g
denmark,1979-11-23,dk,denmark,thomas gaardsoe,2091,d
england,1984-10-21,gb-eng,england,kieran richardson,1982,m
wales,1979-09-25,gb-wls,wales,jason koumas,2382,m
england,1975-06-13,gb-eng,england,riccardo scimeca,660,d
scotland,1978-07-20,gb-sct,scotland,nigel quashie,1092,m
england,1981-09-12,gb-eng,england,david prutton,1607,m
england,1973-06-25,gb-eng,england,jamie redknapp,262,m
england,1979-12-17,gb-eng,england,paul smith,2327,g
norway,1973-02-22,no,norway,claus lundekvam,1246,d
england,1968-10-17,gb-eng,england,graeme le saux,70,d
sweden,1972-10-06,se,sweden,andreas jakobsson,2793,d
france,1979-10-14,fr,france,olivier bernard,1955,d
senegal,1977-05-10,sn,senegal,henri camara,2590,f
england,1981-01-30,gb-eng,england,peter crouch,1629,f
england,1970-04-06,gb-eng,england,peter atherton,125,d
england,1970-11-10,gb-eng,england,graham hyde,505,m
england,1960-12-14,gb-eng,england,chris waddle,506,m
england,1967-11-06,gb-eng,england,kevin pressman,495,g
sweden,1968-08-20,se,sweden,klas ingesson,955,m
northern ireland,1970-07-09,gb-eng,england,ian nolan,953,d
england,1966-04-20,gb-eng,england,andy pearce,129,d
romania,1967-12-22,ro,romania,dan petrescu,954,d
england,1974-06-16,gb-eng,england,chris bart-williams,509,m
england,1962-06-06,gb-eng,england,mark bright,513,f
england,1965-11-26,gb-eng,england,des walker,750,d
england,1964-11-10,gb-eng,england,guy whittingham,664,f
ireland,1964-10-01,ie,ireland,john sheridan,510,m
wales,1975-04-05,gb-wls,wales,john hartson,844,f
england,1966-10-10,gb-eng,england,tony adams,3,d
england,1964-03-17,gb-eng,england,lee dixon,13,d
england,1974-06-14,gb-eng,england,ian selley,20,m
denmark,1965-05-03,dk,denmark,john jensen,17,m
england,1963-09-19,gb-eng,england,david seaman,1,g
england,1962-06-18,gb-eng,england,andy linighan,12,d
england,1963-12-11,gb-eng,england,nigel winterburn,11,d
england,1969-12-02,gb-eng,england,chris kiwomya,222,f
england,1968-03-20,gb-eng,england,paul merson,23,m
england,1966-07-24,gb-eng,england,martin keown,14,d
england,1973-03-07,gb-eng,england,ray parlour,19,m
brazil,1988-08-09,br,brazil,willian,4748,f
england,1985-12-19,gb-eng,england,gary cahill,2620,d
serbia,1988-08-01,yu,yugoslavia,nemanja matic,3861,m
belgium,1991-01-07,be,belgium,eden hazard,4503,f
brazil,1991-09-09,br,brazil,oscar,4501,m
england,1980-12-07,gb-eng,england,john terry,1353,d
spain,1989-08-28,es,spain,césar azpilicueta,4496,d
spain,1988-10-07,br,brazil,diego costa,4941,f
serbia,1984-02-22,yu,yugoslavia,branislav ivanovic,3360,d
spain,1987-05-04,es,spain,cesc fàbregas,2417,m
belgium,1992-05-11,be,belgium,thibaut courtois,4911,g
cote d’ivoire,1978-03-11,ci,cote d’ivoire,didier drogba,2662,f
france,1994-10-27,fr,france,kurt zouma,5175,d
czech republic,1982-05-20,cz,czech republic,petr cech,2651,g
france,1987-01-02,fr,france,loïc rémy,4572,f
brazil,1987-03-24,br,brazil,ramires,4103,m
brazil,1985-08-09,br,brazil,filipe luís,4915,d
colombia,1988-05-26,co,colombia,juan cuadrado,6615,m
serbia,1988-11-20,yu,yugoslavia,dusan tadic,10498,m
ireland,1987-01-22,ie,ireland,shane long,3206,f
senegal,1992-04-10,sn,senegal,sadio mané,6519,f
england,1989-08-05,gb-eng,england,ryan bertrand,2886,d
kenya,1991-06-25,ke,kenya,victor wanyama,4816,m
england,1988-03-17,gb-eng,england,fraser forster,3170,g
portugal,1983-12-22,pt,portugal,josé fonte,4606,d
northern ireland,1985-01-01,gb-nir,northern ireland,steven davis,2423,m
belgium,1989-03-02,be,belgium,toby alderweireld,4916,d
france,1989-11-08,fr,france,morgan schneiderlin,4615,m
england,1991-04-05,gb-eng,england,nathaniel clyne,4604,d
serbia,1992-01-30,rs,serbia,filip djuricic,5057,m
japan,1988-08-24,jp,japan,maya yoshida,4605,d
romania,1988-10-29,ro,romania,florin gardos,5937,d
england,1994-11-01,gb-eng,england,james ward-prowse,4617,m
italy,1985-07-15,it,italy,graziano pellè,10502,f
england,1976-09-29,gb-eng,england,kelvin davis,2971,g
england,1995-09-18,gb-eng,england,matt targett,4815,d
colombia,1985-07-25,co,colombia,hugo rodallega,3780,f
spain,1985-05-24,es,spain,jordi gómez,3981,m
paraguay,1982-07-30,py,paraguay,antolín alcaraz,4218,d
netherlands,1984-06-18,nl,netherlands,ronnie stam,4219,d
honduras,1983-05-02,hn,honduras,maynor figueroa,3524,d
ireland,1990-11-12,ie,ireland,james mccarthy,3979,m
oman,1981-12-30,om,oman,ali al habsi,2871,g
england,1984-11-04,gb-eng,england,david jones,2523,m
cote d’ivoire,1981-02-08,ci,cote d’ivoire,steve gohouri,3975,d
spain,1982-05-13,es,spain,albert crusat,4445,m
england,1985-07-09,gb-eng,england,ben watson,2686,m
argentina,1989-04-07,ar,argentina,franco di santo,3366,f
nigeria,1990-12-12,ng,nigeria,victor moses,3983,d
ireland,1986-11-06,ie,ireland,conor sammon,4226,f
senegal,1987-06-14,fr,france,mohamed diamé,3982,m
scotland,1987-10-07,gb-sct,scotland,james mcarthur,4224,m
barbados,1979-09-24,bb,barbados,emmerson boyce,2669,d
england,1972-02-29,gb-eng,england,mike pollitt,3022,g
wales,1983-02-18,gb-wls,wales,david vaughan,4077,m
england,1988-03-21,gb-eng,england,lee cattermole,2949,m
england,1984-01-08,gb-eng,england,matthew kilgallon,2260,d
england,1989-10-24,gb-eng,england,jack colback,3713,m
ireland,1981-04-30,ie,ireland,john o'shea,1717,d
denmark,1988-01-16,dk,denmark,nicklas bendtner,2844,f
belgium,1988-03-06,be,belgium,simon mignolet,4179,g
ireland,1989-04-22,gb-nir,northern ireland,james mcclean,4395,m
england,1986-11-25,gb-eng,england,craig gardner,2847,m
benin,1984-06-01,bj,benin,stéphane sessegnon,4185,m
england,1992-03-25,gb-eng,england,craig lynch,4189,f
ireland,1989-05-29,ie,ireland,david meyler,3714,m
england,1993-03-06,gb-eng,england,louis laing,4182,d
northern ireland,1988-03-05,gb-nir,northern ireland,trevor carson,2973,g
egypt,1987-09-09,eg,egypt,ahmed el mohamady,4183,d
south korea,1991-05-28,kr,south korea,ji dong-won,4397,f
england,1991-06-11,gb-eng,england,ryan noble,3954,f
argentina,1982-01-22,ar,argentina,fabricio coloccini,3680,d
england,1982-06-24,gb-eng,england,kevin nolan,2040,m
england,1989-01-06,gb-eng,england,andy carroll,3175,f
england,1985-09-28,gb-eng,england,james perch,4166,d
england,1985-01-07,gb-eng,england,wayne routledge,2681,m
england,1982-09-02,gb-eng,england,joey barton,2303,m
england,1983-11-08,gb-eng,england,mike williamson,4024,d
england,1980-10-28,gb-eng,england,alan smith,1412,f
spain,1986-01-23,es,spain,josé enrique,3462,d
england,1975-03-14,gb-eng,england,steve harper,709,g
argentina,1983-07-05,ar,argentina,jonás gutiérrez,3683,m
england,1984-08-19,gb-eng,england,ryan taylor,3027,d
england,1991-10-31,gb-eng,england,james tavernier,4168,d
denmark,1980-01-29,dk,denmark,peter løvenkrands,3688,f
spain,1986-06-26,es,spain,xisco,3692,f
slovenia,1992-08-21,si,slovenia,haris vuckic,3684,m
netherlands,1988-04-03,nl,netherlands,tim krul,3169,g
nigeria,1981-10-12,ng,nigeria,shola ameobi,1962,f
england,1981-12-12,gb-eng,england,stephen warnock,2279,d
england,1984-07-22,gb-eng,england,stewart downing,2122,m
norway,1979-09-05,no,norway,john carew,3065,f
ireland,1979-09-21,ie,ireland,richard dunne,1184,d
bulgaria,1979-07-05,bg,bulgaria,stiliyan petrov,3063,m
england,1979-07-19,gb-eng,england,luke young,1464,d
ireland,1989-09-26,ie,ireland,ciaran clark,3562,d
england,1985-07-09,gb-eng,england,ashley young,3062,d
england,1989-11-18,gb-eng,england,marc albrighton,3564,m
united states,1971-05-18,us,united states,brad friedel,1420,g
ireland,1986-08-22,ie,ireland,stephen ireland,2928,m
england,1978-01-11,gb-eng,england,emile heskey,908,f
england,1984-05-14,gb-eng,england,nigel reo-coker,3015,m
scotland,1989-12-01,gb-sct,scotland,barry bannan,3565,m
united states,1984-09-09,us,united states,bradley guzan,3558,g
england,1991-02-02,gb-eng,england,nathan delfouneso,3566,f
united states,1988-11-17,us,united states,eric lichaj,3324,d
senegal,1977-10-19,sn,senegal,habib beye,3465,d
england,1987-04-19,gb-eng,england,joe hart,3143,g
england,1982-08-16,gb-eng,england,joleon lescott,2574,d
england,1988-06-24,gb-eng,england,micah richards,2925,d
argentina,1985-01-16,ar,argentina,pablo zabaleta,3654,d
england,1991-03-11,gb-eng,england,jack rodwell,3389,m
bosnia & herzegovina,1986-03-17,ba,bosnia & herzegovina,edin dzeko,4151,f
france,1987-06-26,fr,france,samir nasri,3546,m
england,1986-01-04,gb-eng,england,james milner,2100,m
argentina,1984-02-05,ar,argentina,carlos tevez,3281,f
cote d’ivoire,1983-05-13,ci,cote d’ivoire,yaya touré,4148,m
serbia,1985-11-10,yu,yugoslavia,aleksandar kolarov,4141,d
spain,1987-02-08,es,spain,javi garcía,4534,m
romania,1987-02-01,ro,romania,costel pantilimon,4319,g
argentina,1988-06-02,ar,argentina,sergio agüero,4328,f
spain,1986-01-08,es,spain,david silva,4145,m
france,1985-07-26,fr,france,gaël clichy,2413,d
england,1981-02-23,gb-eng,england,gareth barry,1308,m
brazil,1981-07-26,br,brazil,maicon,4531,d
england,1987-04-28,gb-eng,england,bradley johnson,4353,m
ireland,1982-05-20,ie,ireland,wes hoolahan,4357,m
scotland,1986-01-04,gb-eng,england,russell martin,4349,d
england,1990-03-06,gb-eng,england,ryan bennett,4351,d
scotland,1987-09-07,gb-sct,scotland,robert snodgrass,4558,m
england,1986-10-24,gb-eng,england,john ruddy,2896,g
ireland,1988-06-06,gb-eng,england,anthony pilkington,4356,m
england,1981-04-12,gb-eng,england,grant holt,4363,f
spain,1985-03-15,es,spain,javier garrido,3427,d
scotland,1984-06-16,gb-sct,scotland,steven whittaker,4557,d
england,1988-05-21,gb-eng,england,jonny howson,4355,m
england,1988-12-18,gb-eng,england,elliott bennett,4029,m
england,1983-12-13,gb-eng,england,david fox,2521,m
argentina,1983-12-28,ar,argentina,luciano becchio,4562,f
england,1985-11-30,gb-eng,england,leon barnett,3739,d
england,1990-06-10,gb-eng,england,jacob butterfield,4559,m
norway,1986-04-04,no,norway,alexander tettey,4560,m
england,1984-11-16,gb-eng,england,mark bunn,3567,g
england,1968-09-20,gb-eng,england,paul heald,628,g
england,1966-06-08,gb-eng,england,alan kimble,807,d
ireland,1971-06-02,gb-eng,england,jon goodman,974,f
ireland,1971-06-28,ie,ireland,kenny cunningham,972,d
nigeria,1967-06-08,ng,nigeria,efan ekoku,389,f
jamaica,1965-01-27,jm,jamaica,robbie earle,598,m
england,1973-04-26,gb-eng,england,chris perry,587,d
england,1959-02-12,gb-eng,england,mick harford,614,f
england,1968-11-08,gb-eng,england,dean holdsworth,603,f
norway,1970-08-17,no,norway,oyvind leonhardsen,973,m
england,1967-11-19,gb-eng,england,alan reeves,971,d
netherlands,1961-10-30,nl,netherlands,hans segers,582,g
wales,1965-01-05,gb-wls,wales,vinnie jones,599,m
jamaica,1970-09-27,jm,jamaica,marcus gayle,809,f
england,1974-05-22,gb-eng,england,graham fenton,57,f
england,1970-08-13,gb-eng,england,alan shearer,89,f
wales,1970-06-10,gb-wls,wales,chris coleman,152,d
norway,1969-09-01,no,norway,henning berg,74,d
england,1969-02-06,gb-eng,england,tim sherwood,78,m
ireland,1970-08-27,ie,ireland,jeff kenna,524,d
scotland,1969-04-22,gb-sct,scotland,billy mckinlay,1003,m
norway,1969-09-08,no,norway,lars bohinen,942,m
england,1967-02-03,gb-eng,england,tim flowers,519,g
england,1968-12-02,gb-eng,england,david batty,243,m
scotland,1965-12-07,gb-sct,scotland,colin hendry,75,d
scotland,1966-11-23,gb-sct,scotland,kevin gallacher,87,f
england,1968-04-09,gb-eng,england,ian brightwell,285,d
england,1963-11-14,gb-eng,england,keith curle,282,d
england,1962-10-01,gb-eng,england,paul walsh,703,f
england,1971-08-26,gb-eng,england,nicky summerbee,769,m
netherlands,1968-10-28,nl,netherlands,michel vonk,287,d
england,1972-11-06,gb-eng,england,garry flitcroft,300,m
england,1961-08-20,gb-eng,england,steve mcmahon,294,m
england,1961-05-19,gb-eng,england,tony coton,279,g
england,1965-11-28,gb-eng,england,peter beagrie,187,m
germany,1968-11-15,de,germany,uwe rösler,704,f
ireland,1966-10-06,ie,ireland,niall quinn,304,f
england,1969-10-01,gb-eng,england,john ebbrell,192,m
england,1973-10-16,gb-eng,england,david unsworth,181,d
england,1970-10-24,gb-eng,england,graham stuart,111,m
england,1968-10-27,gb-eng,england,vinny samways,568,m
england,1971-06-11,gb-eng,england,joe parkinson,686,m
england,1961-11-20,gb-eng,england,dave watson,174,d
england,1965-07-11,gb-eng,england,tony cottee,193,f
england,1971-10-19,gb-eng,england,matt jackson,177,d
england,1965-11-19,gb-eng,england,gary ablett,180,d
england,1964-08-14,gb-eng,england,paul rideout,196,f
wales,1958-09-16,gb-wls,wales,neville southall,172,g
sweden,1965-09-24,se,sweden,anders limpar,22,m
netherlands,1974-07-11,nl,netherlands,andré ooijer,3069,d
switzerland,1974-09-07,ch,switzerland,stéphane henchoz,1335,d
england,1974-08-03,gb-eng,england,michael gray,1253,d
australia,1978-03-09,au,australia,lucas neill,2018,d
australia,1979-02-22,au,australia,brett emerton,2434,m
norway,1981-09-08,no,norway,morten gamst pedersen,2636,m
dr congo,1977-03-06,cd,dr congo,shabani nonda,3079,f
south africa,1977-11-12,za,south africa,benni mccarthy,3080,f
england,1984-08-27,gb-eng,england,david bentley,2009,m
wales,1974-10-18,gb-wls,wales,robbie savage,706,m
england,1986-04-14,gb-eng,england,matt derbyshire,2437,f
south africa,1980-11-25,za,south africa,aaron mokoena,2637,m
wales,1982-05-18,gb-wls,wales,jason brown,3067,g
germany,1986-10-12,de,germany,sergio peter,2869,m
scotland,1984-08-09,gb-sct,scotland,paul gallagher,2204,f
england,1984-07-09,gb-eng,england,liam rosenior,2464,d
iceland,1977-08-22,is,iceland,heidar helguson,1791,f
england,1977-01-25,gb-eng,england,michael brown,918,m
england,1980-05-02,gb-eng,england,zat knight,2075,d
czech republic,1982-07-07,cz,czech republic,jan lastuvka,3113,g
portugal,1977-08-04,pt,portugal,luís boa morte,1306,f
netherlands,1985-10-17,nl,netherlands,collins john,2472,f
denmark,1977-04-29,dk,denmark,claus jensen,1851,m
germany,1983-01-21,de,germany,moritz volz,1830,d
senegal,1978-01-28,sn,senegal,papa bouba diop,2711,m
canada,1973-12-14,ca,canada,tomasz radzinski,2066,f
france,1978-08-31,fr,france,philippe christanval,2907,d
portugal,1986-11-19,pt,portugal,ricardo batista,2708,g
united states,1972-06-19,us,united states,brian mcbride,2402,f
england,1956-09-14,gb-eng,england,ray wilkins,455,m
england,1966-12-08,gb-eng,england,les ferdinand,462,f
england,1971-09-30,gb-eng,england,andy impey,453,d
england,1968-02-03,gb-eng,england,darren peacock,448,d
england,1961-11-13,gb-eng,england,clive wilson,452,d
england,1964-03-23,gb-eng,england,gary penrice,465,f
czech republic,1962-01-15,cz,czech republic,jan stejskal,441,g
england,1964-09-11,gb-eng,england,david bardsley,447,d
england,1970-01-29,gb-eng,england,steve yates,739,d
england,1964-11-04,gb-eng,england,simon barker,460,m
england,1965-01-20,gb-eng,england,andy hill,292,d
ireland,1967-04-25,gb-eng,england,alan kernaghan,352,d
england,1967-05-02,gb-eng,england,david rocastle,237,m
england,1965-05-08,gb-eng,england,andy dibble,280,g
england,1974-09-23,gb-eng,england,richard edghill,290,d
england,1972-01-11,gb-eng,england,mike sheron,305,f
ireland,1967-03-16,ie,ireland,terry phelan,291,d
wales,1971-07-16,gb-eng,england,carl griffiths,702,f
england,1973-11-16,gb-eng,england,adie mike,303,f
sweden,1977-04-16,se,sweden,freddie ljungberg,1497,m
netherlands,1969-05-10,nl,netherlands,dennis bergkamp,991,f
ukraine,1968-08-05,ua,ukraine,oleg luzhny,1650,d
brazil,1974-04-12,br,brazil,sylvinho,1651,d
france,1970-11-11,fr,france,gilles grimandi,1297,d
france,1977-08-17,fr,france,thierry henry,1659,f
nigeria,1976-08-01,ng,nigeria,kanu,1502,f
argentina,1969-10-18,ar,argentina,nelson vivas,1298,d
france,1974-05-10,fr,france,sylvain wiltord,1836,f
wales,1973-11-29,gb-wls,wales,ryan giggs,335,m
france,1977-08-09,fr,france,mikaël silvestre,1719,d
ireland,1971-08-10,ie,ireland,roy keane,407,m
england,1971-10-15,gb-eng,england,andrew cole,725,f
ireland,1965-10-31,ie,ireland,denis irwin,315,d
norway,1969-06-10,no,norway,ronny johnsen,1210,d
england,1975-02-18,gb-eng,england,gary neville,321,d
england,1974-11-16,gb-eng,england,paul scholes,336,m
france,1971-06-28,fr,france,fabien barthez,1940,g
england,1966-04-02,gb-eng,england,teddy sheringham,576,f
england,1975-05-02,gb-eng,england,david beckham,331,m
trinidad & tobago,1971-11-03,tt,trinidad & tobago,dwight yorke,59,f
norway,1973-02-26,no,norway,ole gunnar solskjaer,1217,f
england,1984-07-21,gb-eng,england,liam ridgewell,2013,d
colombia,1975-10-24,co,colombia,juan pablo ángel,1843,f
england,1978-01-10,gb-eng,england,gavin mccann,1042,m
netherlands,1978-06-15,nl,netherlands,wilfred bouma,2846,d
czech republic,1981-10-28,cz,czech republic,milan baros,2111,f
england,1980-11-28,gb-eng,england,stuart taylor,1295,g
england,1986-10-13,gb-eng,england,gabriel agbonlahor,2622,f
sweden,1977-09-03,se,sweden,olof mellberg,2012,d
england,1984-09-08,gb-eng,england,peter whittingham,2171,m
austria,1986-11-26,at,austria,bobby olejnik,2421,g
northern ireland,1979-11-08,gb-nir,northern ireland,aaron hughes,1230,d
united states,1973-07-20,us,united states,claudio reyna,2138,m
england,1979-03-02,gb-eng,england,nicky weaver,1927,g
wales,1975-11-30,gb-wls,wales,ben thatcher,1282,d
england,1980-06-13,gb-eng,england,darius vassell,1309,f
italy,1976-03-30,it,italy,bernardo corradi,3155,f
france,1977-12-16,fr,france,sylvain distin,2125,d
tunisia,1977-01-25,tn,tunisia,hatem trabelsi,3145,d
greece,1985-02-21,gr,greece,georgios samaras,2930,f
england,1987-03-05,gb-eng,england,ishmael miller,2931,f
scotland,1972-11-01,gb-sct,scotland,paul dickov,27,f
england,1986-11-12,ng,nigeria,nedum onuoha,2728,d
germany,1973-08-27,de,germany,dietmar hamann,1595,m
england,1969-04-22,gb-eng,england,dion dublin,338,f
england,1976-03-24,gb-eng,england,marcus hall,860,d
england,1971-03-26,gb-eng,england,paul williams,1030,d
ireland,1973-12-12,ie,ireland,gary breen,1155,d
scotland,1971-10-21,gb-sct,scotland,paul telfer,1033,m
england,1968-09-11,gb-eng,england,richard shaw,154,d
scotland,1964-12-25,gb-sct,scotland,gary mcallister,238,m
england,1974-12-30,gb-eng,england,noel whelan,245,f
england,1976-04-23,gb-eng,england,darren huckerby,1082,f
england,1962-12-04,gb-eng,england,kevin richardson,43,m
england,1957-09-12,gb-eng,england,steve ogrizovic,122,g
england,1968-10-25,gb-eng,england,david burrows,256,d
zimbabwe,1973-02-25,zw,zimbabwe,peter ndlovu,143,f
croatia,1968-09-11,hr,croatia,slaven bilic,1112,d
england,1967-05-07,us,united states,steve potts,785,d
czech republic,1961-12-09,cz,czech republic,ludek miklosko,782,g
england,1968-08-08,gb-eng,england,julian dicks,696,d
england,1965-05-29,gb-eng,england,ian bishop,795,m
denmark,1968-06-05,dk,denmark,marc rieper,966,d
england,1965-07-02,gb-eng,england,tim breacker,789,d
england,1971-01-09,gb-eng,england,paul kitson,928,f
northern ireland,1971-01-09,gb-nir,northern ireland,keith rowland,620,d
northern ireland,1965-01-09,gb-eng,england,iain dowie,538,f
portugal,1973-09-28,pt,portugal,hugo porfirio,1280,m
ireland,1970-10-10,ie,ireland,dean kiely,1848,g
england,1974-09-21,gb-eng,england,andrew todd,356,d
england,1981-02-13,gb-eng,england,charlie macdonald,1524,f
ireland,1972-08-12,ie,ireland,mark kinsella,1520,m
finland,1975-08-16,fi,finland,jonatan johansson,1855,f
england,1969-09-08,gb-eng,england,chris powell,1168,d
england,1972-05-13,gb-eng,england,steve brown,1516,d
wales,1971-08-29,gb-wls,wales,john robinson,1522,m
england,1970-02-11,gb-eng,england,carl tiler,397,d
england,1969-02-11,ng,nigeria,john salako,159,m
sweden,1974-09-24,se,sweden,mathias svensson,1853,f
england,1965-06-30,gb-eng,england,gary pallister,320,d
england,1972-11-03,gb-eng,england,ugo ehiogu,35,d
england,1967-02-28,gb-eng,england,colin cooper,937,d
england,1973-02-10,gb-eng,england,dean gordon,151,d
france,1970-12-03,fr,france,christian karembeu,1949,m
ireland,1968-10-08,gb-eng,england,curtis fleming,349,d
england,1968-02-07,gb-eng,england,brian deane,488,f
england,1967-10-21,gb-eng,england,paul ince,326,m
england,1979-04-18,gb-eng,england,andy campbell,1076,f
wales,1969-06-16,gb-wls,wales,mark crossley,394,g
colombia,1974-01-12,co,colombia,hamilton ricard,1587,f
argentina,1982-03-14,ar,argentina,carlos marinelli,1728,m
italy,1969-03-15,it,italy,gianluca festa,1222,d
england,1966-12-17,gb-eng,england,kevin scott,777,d
england,1972-03-03,gb-eng,england,darren anderton,566,m
england,1970-04-26,gb-eng,england,dean austin,555,d
israel,1963-10-11,il,israel,ronnie rosenthal,274,f
england,1974-09-18,gb-eng,england,sol campbell,557,d
england,1974-02-11,gb-eng,england,nick barmby,569,m
england,1967-12-09,gb-eng,england,jason dozzell,212,m
england,1968-05-26,gb-eng,england,steve sedgley,556,d
england,1971-10-31,gb-eng,england,ian walker,544,g
england,1961-08-23,gb-eng,england,gary mabbutt,549,d
england,1971-10-08,gb-eng,england,neil cox,40,d
england,1973-03-09,gb-eng,england,stephen froggatt,46,m
england,1968-03-21,gb-eng,england,dalian atkinson,62,f
england,1965-09-07,gb-eng,england,garry parker,48,m
england,1964-03-10,gb-eng,england,shaun teale,39,d
australia,1972-01-13,au,australia,mark bosnich,32,g
ireland,1959-12-04,ie,ireland,paul mcgrath,37,d
england,1967-04-28,gb-eng,england,earl barrett,38,d
england,1967-10-18,gb-eng,england,tony daley,52,m
wales,1964-06-21,gb-wls,wales,dean saunders,60,f
germany,1972-01-13,de,germany,stefan beinlich,50,m
france,1981-08-20,fr,france,bernard mendy,2206,m
france,1971-06-10,fr,france,bruno n'gotty,2032,d
spain,1974-02-21,es,spain,ivan campo,2208,m
nigeria,1973-08-14,ng,nigeria,jay jay okocha,2209,m
denmark,1975-06-10,dk,denmark,henrik pedersen,2048,f
england,1968-01-13,gb-eng,england,mike whitlow,896,d
france,1968-03-09,fr,france,youri djorkaeff,2037,m
jamaica,1978-09-25,jm,jamaica,ricardo gardner,2041,m
finland,1975-04-19,fi,finland,jussi jääskeläinen,1342,g
denmark,1970-02-06,dk,denmark,per frandsen,1346,m
iceland,1965-07-21,is,iceland,gudni bergsson,548,d
france,1974-05-14,fr,france,pierre-yves andré,2212,f
england,1971-10-25,gb-eng,england,simon charlton,755,d
france,1978-08-27,fr,france,franck queudrue,2120,d
netherlands,1975-09-05,nl,netherlands,george boateng,1361,m
australia,1981-10-02,au,australia,luke wilkshire,1585,m
italy,1979-09-06,it,italy,massimo maccarone,2319,f
england,1970-09-03,gb-eng,england,gareth southgate,153,d
australia,1972-10-06,au,australia,mark schwarzer,1218,g
brazil,1973-02-22,br,brazil,juninho paulista,1072,m
england,1982-07-19,gb-eng,england,stuart parnaby,1948,d
brazil,1972-05-28,br,brazil,doriva,2314,m
england,1978-12-04,gb-eng,england,michael ricketts,2044,f
england,1983-11-18,gb-eng,england,michael dawson,2805,d
england,1986-12-28,gb-eng,england,tom huddlestone,2991,m
england,1987-04-16,gb-eng,england,aaron lennon,2270,m
wales,1989-07-16,gb-wls,wales,gareth bale,3513,m
england,1980-10-12,gb-eng,england,ledley king,1627,d
honduras,1984-07-29,hn,honduras,wilson palacios,3527,m
england,1982-10-07,gb-eng,england,jermain defoe,1526,f
france,1986-01-04,fr,france,younes kaboul,3508,d
cameroon,1984-03-24,fr,france,benoit assou-ekotto,3239,d
italy,1973-09-06,it,italy,carlo cudicini,1676,g
ireland,1980-07-08,ie,ireland,robbie keane,1692,f
cameroon,1986-07-09,cm,cameroon,sebastien bassong,3681,d
croatia,1984-08-13,hr,croatia,niko kranjcar,3180,m
england,1983-02-18,gb-eng,england,jermaine jenas,2127,m
mexico,1989-05-11,mx,mexico,giovani dos santos,3729,f
england,1987-01-01,gb-eng,england,ben alnwick,2972,g
russia,1981-12-15,ru,russia,roman pavlyuchenko,3728,f
argentina,1985-05-22,ar,argentina,mauro boselli,4227,f
honduras,1985-02-23,hn,honduras,hendry thomas,3980,m
england,1991-04-25,gb-eng,england,callum mcmanaman,3779,m
england,1991-01-28,gb-eng,england,jordan mustoe,3978,d
scotland,1980-09-12,gb-sct,scotland,steven caldwell,1589,d
,1983-11-11,côte d'ivoire,,arouna koné,4701,f
austria,1980-03-11,at,austria,paul scharner,3029,d
spain,1990-06-17,es,spain,joel robles,4696,g
scotland,1982-04-12,gb-sct,scotland,gary caldwell,1732,d
honduras,1986-10-25,hn,honduras,roger espinoza,4699,m
scotland,1983-01-24,gb-sct,scotland,shaun maloney,3066,m
spain,1992-03-21,es,spain,román golobart,3977,d
chile,1994-04-13,cl,chile,ángelo henríquez,4542,f
wales,1984-08-23,gb-wls,wales,ashley williams,4403,d
wales,1993-04-24,gb-wls,wales,ben davies,4408,d
netherlands,1985-10-21,nl,netherlands,dwight tiendalli,4652,d
